fecha,producto_id,nombre,categoria,subcategoria,precio_base,es_estrella,unidades_vendidas,precio_venta,ingresos,Amazon,Decathlon,Deporvillage
2021-10-25,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,6,118.36,710.16,82.96,111.88,97.43
2021-10-25,PROD_002,Adidas Ultraboost 23,Running,Zapatillas Running,135,True,10,136.82,1368.2,112.56,108.61,115.58
2021-10-25,PROD_003,Asics Gel Nimbus 25,Running,Zapatillas Running,85,False,2,84.93,169.86,79.79,78.44,80.11
2021-10-25,PROD_004,New Balance Fresh Foam X 1080v12,Running,Zapatillas Running,75,False,2,75.42,150.84,72.6,67.29,74.45
2021-10-25,PROD_005,Nike Dri-FIT Miler,Running,Ropa Running,35,False,2,35.87,71.74,37.71,33.6,33.07
2021-10-25,PROD_006,Adidas Own The Run Jacket,Running,Ropa Running,65,False,2,65.51,131.02,70.47,58.07,64.83
2021-10-25,PROD_007,Puma Velocity Nitro 2,Running,Zapatillas Running,70,False,2,70.98,141.96,69.52,65.53,70.86
2021-10-25,PROD_008,Reebok Floatride Energy 5,Running,Zapatillas Running,65,False,2,66.6,133.2,65.86,60.24,66.94
2021-10-25,PROD_009,Bowflex SelectTech 552,Fitness,Mancuernas Ajustables,400,True,2,392.31,784.62,371.7,329.98,350.87
2021-10-25,PROD_010,Domyos BM900,Fitness,Banco Gimnasio,175,True,2,174.92,349.84,173.54,147.89,159.04
2021-10-25,PROD_011,Reebok Professional Deck,Fitness,Esterilla Fitness,45,False,3,44.32,132.96,48.84,40.24,44.61
2021-10-25,PROD_012,Domyos Kit Mancuernas 20kg,Fitness,Pesas Casa,55,False,3,55.05,165.15,52.5,50.6,56.64
2021-10-25,PROD_013,Decathlon Bandas Elásticas Set,Fitness,Bandas Elásticas,25,False,2,24.79,49.58,23.22,23.05,26.02
2021-10-25,PROD_014,Sveltus Kettlebell 12kg,Fitness,Pesa Rusa,40,False,2,39.74,79.48,42.91,36.42,39.05
2021-10-25,PROD_015,Salomon Speedcross 5 GTX,Outdoor,Zapatillas Trail,150,True,3,154.22,462.66,133.45,142.28,131.29
2021-10-25,PROD_016,Trek Marlin 7,Outdoor,Bicicleta Montaña,830,True,2,821.29,5143.851499999984,403.3126249999999,364.25499999999994,385.2574999999999
2021-10-25,PROD_017,The North Face Borealis,Outdoor,Mochila Trekking,95,False,1,96.56,96.56,92.12,86.48,99.31
2021-10-25,PROD_018,Columbia Silver Ridge,Outdoor,Ropa Montaña,70,False,2,68.21,136.42,67.32,65.57,66.62
2021-10-25,PROD_019,Merrell Moab 2 GTX,Outdoor,Zapatillas Trail,110,False,1,107.82,107.82,110.29,101.32,108.45
2021-10-25,PROD_020,Quechua MH500,Outdoor,Ropa Montaña,80,False,2,81.58,163.16,77.57,71.76,78.48
2021-10-25,PROD_021,Manduka PRO Yoga Mat,Wellness,Esterilla Yoga,130,True,5,129.46,647.3,127.72,106.44,118.27
2021-10-25,PROD_022,Gaiam Premium Yoga Block,Wellness,Bloque Yoga,20,False,1,20.25,20.25,19.38,17.45,19.82
2021-10-25,PROD_023,Liforme Yoga Pad,Wellness,Rodillera Yoga,35,False,1,34.3,34.3,34.3,33.16,34.42
2021-10-25,PROD_024,Lotuscrafts Yoga Bolster,Wellness,Cojín Yoga,50,False,1,49.92,49.92,46.96,44.19,50.44
2021-10-26,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,8,117.37,938.96,84.25,110.88,94.66
2021-10-26,PROD_002,Adidas Ultraboost 23,Running,Zapatillas Running,135,True,10,137.98,1379.8,112.78,106.81,119.42
2021-10-26,PROD_003,Asics Gel Nimbus 25,Running,Zapatillas Running,85,False,2,83.5,167.0,89.14,75.61,87.75
2021-10-26,PROD_004,New Balance Fresh Foam X 1080v12,Running,Zapatillas Running,75,False,2,73.01,146.02,80.4,66.77,70.63
2021-10-26,PROD_005,Nike Dri-FIT Miler,Running,Ropa Running,35,False,2,35.07,70.14,33.73,31.96,36.45
2021-10-26,PROD_006,Adidas Own The Run Jacket,Running,Ropa Running,65,False,2,66.69,133.38,66.73,60.05,63.9
2021-10-26,PROD_007,Puma Velocity Nitro 2,Running,Zapatillas Running,70,False,2,69.23,138.46,69.47,64.38,74.12
2021-10-26,PROD_008,Reebok Floatride Energy 5,Running,Zapatillas Running,65,False,2,63.63,127.26,66.94,59.37,66.94
2021-10-26,PROD_009,Bowflex SelectTech 552,Fitness,Mancuernas Ajustables,400,True,2,411.68,823.36,374.49,331.24,355.38
2021-10-26,PROD_010,Domyos BM900,Fitness,Banco Gimnasio,175,True,1,178.86,178.86,172.21,150.29,161.21
2021-10-26,PROD_011,Reebok Professional Deck,Fitness,Esterilla Fitness,45,False,2,44.88,89.76,46.86,40.42,43.89
2021-10-26,PROD_012,Domyos Kit Mancuernas 20kg,Fitness,Pesas Casa,55,False,4,55.55,222.2,55.83,50.32,55.73
2021-10-26,PROD_013,Decathlon Bandas Elásticas Set,Fitness,Bandas Elásticas,25,False,2,24.46,48.92,24.73,22.89,26.7
2021-10-26,PROD_014,Sveltus Kettlebell 12kg,Fitness,Pesa Rusa,40,False,2,40.42,80.84,37.67,36.83,41.61
2021-10-26,PROD_015,Salomon Speedcross 5 GTX,Outdoor,Zapatillas Trail,150,True,3,154.23,462.69,135.98,142.6,130.5
2021-10-26,PROD_016,Trek Marlin 7,Outdoor,Bicicleta Montaña,830,True,2,827.2,5143.851499999984,403.3126249999999,364.25499999999994,385.2574999999999
2021-10-26,PROD_017,The North Face Borealis,Outdoor,Mochila Trekking,95,False,2,97.1,194.2,98.36,87.45,93.36
2021-10-26,PROD_018,Columbia Silver Ridge,Outdoor,Ropa Montaña,70,False,1,71.42,71.42,69.49,64.56,70.56
2021-10-26,PROD_019,Merrell Moab 2 GTX,Outdoor,Zapatillas Trail,110,False,2,112.93,225.86,111.69,98.28,106.86
2021-10-26,PROD_020,Quechua MH500,Outdoor,Ropa Montaña,80,False,2,80.57,161.14,78.33,73.41,77.22
2021-10-26,PROD_021,Manduka PRO Yoga Mat,Wellness,Esterilla Yoga,130,True,4,132.88,531.52,125.65,108.1,116.67
2021-10-26,PROD_022,Gaiam Premium Yoga Block,Wellness,Bloque Yoga,20,False,1,20.52,20.52,20.71,18.03,21.33
2021-10-26,PROD_023,Liforme Yoga Pad,Wellness,Rodillera Yoga,35,False,1,35.4,35.4,32.66,33.33,35.33
2021-10-26,PROD_024,Lotuscrafts Yoga Bolster,Wellness,Cojín Yoga,50,False,1,50.48,50.48,46.33,46.14,51.84
2021-10-27,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,8,114.27,914.16,84.06,108.9,96.89
2021-10-27,PROD_002,Adidas Ultraboost 23,Running,Zapatillas Running,135,True,8,136.28,1090.24,113.99,110.25,120.7
2021-10-27,PROD_003,Asics Gel Nimbus 25,Running,Zapatillas Running,85,False,3,87.55,262.65,88.71,77.26,84.54
2021-10-27,PROD_004,New Balance Fresh Foam X 1080v12,Running,Zapatillas Running,75,False,2,76.27,152.54,77.01,70.51,76.4
2021-10-27,PROD_005,Nike Dri-FIT Miler,Running,Ropa Running,35,False,2,35.14,70.28,37.57,32.37,34.67
2021-10-27,PROD_006,Adidas Own The Run Jacket,Running,Ropa Running,65,False,2,64.63,129.26,68.72,61.64,66.83
2021-10-27,PROD_007,Puma Velocity Nitro 2,Running,Zapatillas Running,70,False,2,69.27,138.54,71.07,65.18,71.39
2021-10-27,PROD_008,Reebok Floatride Energy 5,Running,Zapatillas Running,65,False,2,66.02,132.04,62.78,58.93,64.01
2021-10-27,PROD_009,Bowflex SelectTech 552,Fitness,Mancuernas Ajustables,400,True,2,407.15,814.3,366.12,325.5,351.0
2021-10-27,PROD_010,Domyos BM900,Fitness,Banco Gimnasio,175,True,2,171.01,342.02,175.93,143.73,158.62
2021-10-27,PROD_011,Reebok Professional Deck,Fitness,Esterilla Fitness,45,False,2,45.12,90.24,42.36,43.88,45.47
2021-10-27,PROD_012,Domyos Kit Mancuernas 20kg,Fitness,Pesas Casa,55,False,2,55.65,111.3,55.34,51.03,51.96
2021-10-27,PROD_013,Decathlon Bandas Elásticas Set,Fitness,Bandas Elásticas,25,False,2,24.83,49.66,24.7,22.83,24.41
2021-10-27,PROD_014,Sveltus Kettlebell 12kg,Fitness,Pesa Rusa,40,False,2,39.7,79.4,38.92,35.81,39.03
2021-10-27,PROD_015,Salomon Speedcross 5 GTX,Outdoor,Zapatillas Trail,150,True,3,147.55,442.65,138.28,143.54,134.95
2021-10-27,PROD_016,Trek Marlin 7,Outdoor,Bicicleta Montaña,830,True,2,838.38,5143.851499999984,403.3126249999999,364.25499999999994,385.2574999999999
2021-10-27,PROD_017,The North Face Borealis,Outdoor,Mochila Trekking,95,False,1,95.68,95.68,97.63,88.21,93.52
2021-10-27,PROD_018,Columbia Silver Ridge,Outdoor,Ropa Montaña,70,False,1,71.53,71.53,70.41,65.2,71.17
2021-10-27,PROD_019,Merrell Moab 2 GTX,Outdoor,Zapatillas Trail,110,False,2,110.13,220.26,105.56,101.28,112.02
2021-10-27,PROD_020,Quechua MH500,Outdoor,Ropa Montaña,80,False,2,79.24,158.48,76.35,71.19,78.08
2021-10-27,PROD_021,Manduka PRO Yoga Mat,Wellness,Esterilla Yoga,130,True,5,129.07,645.35,126.33,110.92,119.51
2021-10-27,PROD_022,Gaiam Premium Yoga Block,Wellness,Bloque Yoga,20,False,1,20.04,20.04,18.63,18.06,20.15
2021-10-27,PROD_023,Liforme Yoga Pad,Wellness,Rodillera Yoga,35,False,1,35.23,35.23,35.24,34.14,35.18
2021-10-27,PROD_024,Lotuscrafts Yoga Bolster,Wellness,Cojín Yoga,50,False,1,50.65,50.65,49.22,45.31,52.23
2021-10-28,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,7,118.14,826.98,81.98,109.87,96.08
2021-10-28,PROD_002,Adidas Ultraboost 23,Running,Zapatillas Running,135,True,8,138.46,1107.68,111.93,108.4,117.44
2021-10-28,PROD_003,Asics Gel Nimbus 25,Running,Zapatillas Running,85,False,2,82.76,165.52,87.0,76.85,81.91
2021-10-28,PROD_004,New Balance Fresh Foam X 1080v12,Running,Zapatillas Running,75,False,2,73.21,146.42,74.1,68.27,78.57
2021-10-28,PROD_005,Nike Dri-FIT Miler,Running,Ropa Running,35,False,2,34.97,69.94,34.15,32.73,36.1
2021-10-28,PROD_006,Adidas Own The Run Jacket,Running,Ropa Running,65,False,2,64.25,128.5,66.06,60.35,65.42
2021-10-28,PROD_007,Puma Velocity Nitro 2,Running,Zapatillas Running,70,False,1,71.27,71.27,70.36,64.41,71.46
2021-10-28,PROD_008,Reebok Floatride Energy 5,Running,Zapatillas Running,65,False,2,65.43,130.86,66.23,58.69,62.7
2021-10-28,PROD_009,Bowflex SelectTech 552,Fitness,Mancuernas Ajustables,400,True,1,405.19,405.19,362.04,322.12,352.57
2021-10-28,PROD_010,Domyos BM900,Fitness,Banco Gimnasio,175,True,1,171.03,171.03,177.03,145.24,160.29
2021-10-28,PROD_011,Reebok Professional Deck,Fitness,Esterilla Fitness,45,False,2,44.14,88.28,44.49,41.06,43.53
2021-10-28,PROD_012,Domyos Kit Mancuernas 20kg,Fitness,Pesas Casa,55,False,3,55.08,165.24,49.82,53.66,56.9
2021-10-28,PROD_013,Decathlon Bandas Elásticas Set,Fitness,Bandas Elásticas,25,False,2,25.31,50.62,27.06,23.11,25.19
2021-10-28,PROD_014,Sveltus Kettlebell 12kg,Fitness,Pesa Rusa,40,False,2,39.42,78.84,42.3,38.73,40.1
2021-10-28,PROD_015,Salomon Speedcross 5 GTX,Outdoor,Zapatillas Trail,150,True,3,154.17,462.51,133.65,145.96,131.17
2021-10-28,PROD_016,Trek Marlin 7,Outdoor,Bicicleta Montaña,830,True,2,832.5,5143.851499999984,403.3126249999999,364.25499999999994,385.2574999999999
2021-10-28,PROD_017,The North Face Borealis,Outdoor,Mochila Trekking,95,False,2,92.4,184.8,91.94,91.89,90.46
2021-10-28,PROD_018,Columbia Silver Ridge,Outdoor,Ropa Montaña,70,False,2,70.43,140.86,65.79,67.0,72.47
2021-10-28,PROD_019,Merrell Moab 2 GTX,Outdoor,Zapatillas Trail,110,False,2,112.11,224.22,114.12,103.18,111.75
2021-10-28,PROD_020,Quechua MH500,Outdoor,Ropa Montaña,80,False,2,78.62,157.24,79.03,71.57,82.48
2021-10-28,PROD_021,Manduka PRO Yoga Mat,Wellness,Esterilla Yoga,130,True,5,130.87,654.35,126.61,110.96,120.21
2021-10-28,PROD_022,Gaiam Premium Yoga Block,Wellness,Bloque Yoga,20,False,1,20.48,20.48,19.85,18.01,19.52
2021-10-28,PROD_023,Liforme Yoga Pad,Wellness,Rodillera Yoga,35,False,1,34.69,34.69,36.24,32.84,33.13
2021-10-28,PROD_024,Lotuscrafts Yoga Bolster,Wellness,Cojín Yoga,50,False,1,49.32,49.32,48.71,45.66,52.01
2021-10-29,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,12,117.23,5143.851499999984,83.84,110.32,94.48
2021-10-29,PROD_002,Adidas Ultraboost 23,Running,Zapatillas Running,135,True,9,131.72,1185.48,112.67,108.27,118.42
2021-10-29,PROD_003,Asics Gel Nimbus 25,Running,Zapatillas Running,85,False,3,85.63,256.89,79.18,76.55,83.71
2021-10-29,PROD_004,New Balance Fresh Foam X 1080v12,Running,Zapatillas Running,75,False,2,73.51,147.02,70.95,68.79,73.65
2021-10-29,PROD_005,Nike Dri-FIT Miler,Running,Ropa Running,35,False,2,35.5,71.0,32.51,32.01,34.84
2021-10-29,PROD_006,Adidas Own The Run Jacket,Running,Ropa Running,65,False,2,63.42,126.84,66.74,58.48,64.75
2021-10-29,PROD_007,Puma Velocity Nitro 2,Running,Zapatillas Running,70,False,2,68.0,136.0,68.08,63.33,66.72
2021-10-29,PROD_008,Reebok Floatride Energy 5,Running,Zapatillas Running,65,False,2,65.18,130.36,64.0,61.52,61.97
2021-10-29,PROD_009,Bowflex SelectTech 552,Fitness,Mancuernas Ajustables,400,True,2,393.57,787.14,365.51,338.16,349.06
2021-10-29,PROD_010,Domyos BM900,Fitness,Banco Gimnasio,175,True,1,174.97,174.97,176.5,148.82,160.54
2021-10-29,PROD_011,Reebok Professional Deck,Fitness,Esterilla Fitness,45,False,3,46.32,138.96,47.31,41.72,43.75
2021-10-29,PROD_012,Domyos Kit Mancuernas 20kg,Fitness,Pesas Casa,55,False,3,54.68,164.04,52.13,48.64,54.52
2021-10-29,PROD_013,Decathlon Bandas Elásticas Set,Fitness,Bandas Elásticas,25,False,3,24.89,74.67,24.18,24.12,23.86
2021-10-29,PROD_014,Sveltus Kettlebell 12kg,Fitness,Pesa Rusa,40,False,3,41.18,123.54,41.63,37.26,39.99
2021-10-29,PROD_015,Salomon Speedcross 5 GTX,Outdoor,Zapatillas Trail,150,True,3,146.66,439.98,133.15,143.59,132.58
2021-10-29,PROD_016,Trek Marlin 7,Outdoor,Bicicleta Montaña,830,True,2,833.9,5143.851499999984,403.3126249999999,364.25499999999994,385.2574999999999
2021-10-29,PROD_017,The North Face Borealis,Outdoor,Mochila Trekking,95,False,2,93.71,187.42,87.09,86.18,91.92
2021-10-29,PROD_018,Columbia Silver Ridge,Outdoor,Ropa Montaña,70,False,2,69.39,138.78,68.65,65.8,66.28
2021-10-29,PROD_019,Merrell Moab 2 GTX,Outdoor,Zapatillas Trail,110,False,2,107.16,214.32,113.05,98.24,109.52
2021-10-29,PROD_020,Quechua MH500,Outdoor,Ropa Montaña,80,False,2,81.44,162.88,79.8,74.15,77.06
2021-10-29,PROD_021,Manduka PRO Yoga Mat,Wellness,Esterilla Yoga,130,True,5,127.92,639.6,126.38,107.98,120.2
2021-10-29,PROD_022,Gaiam Premium Yoga Block,Wellness,Bloque Yoga,20,False,1,20.18,20.18,19.42,18.32,20.04
2021-10-29,PROD_023,Liforme Yoga Pad,Wellness,Rodillera Yoga,35,False,1,35.07,35.07,34.27,32.41,34.82
2021-10-29,PROD_024,Lotuscrafts Yoga Bolster,Wellness,Cojín Yoga,50,False,1,50.51,50.51,50.21,46.25,50.68
2021-10-30,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,12,118.41,5143.851499999984,82.21,109.56,95.3
2021-10-30,PROD_002,Adidas Ultraboost 23,Running,Zapatillas Running,135,True,12,136.87,5143.851499999984,111.02,108.98,117.71
2021-10-30,PROD_003,Asics Gel Nimbus 25,Running,Zapatillas Running,85,False,3,84.82,254.46,85.28,78.37,86.78
2021-10-30,PROD_004,New Balance Fresh Foam X 1080v12,Running,Zapatillas Running,75,False,3,77.06,231.18,82.98,68.54,76.32
2021-10-30,PROD_005,Nike Dri-FIT Miler,Running,Ropa Running,35,False,2,34.32,68.64,36.67,31.79,33.46
2021-10-30,PROD_006,Adidas Own The Run Jacket,Running,Ropa Running,65,False,3,65.14,195.42,64.8,58.93,64.37
2021-10-30,PROD_007,Puma Velocity Nitro 2,Running,Zapatillas Running,70,False,3,68.31,204.93,68.08,64.69,74.72
2021-10-30,PROD_008,Reebok Floatride Energy 5,Running,Zapatillas Running,65,False,2,64.41,128.82,60.15,56.46,65.86
2021-10-30,PROD_009,Bowflex SelectTech 552,Fitness,Mancuernas Ajustables,400,True,2,403.96,807.92,376.36,330.28,355.09
2021-10-30,PROD_010,Domyos BM900,Fitness,Banco Gimnasio,175,True,2,171.35,342.7,178.06,143.69,159.01
2021-10-30,PROD_011,Reebok Professional Deck,Fitness,Esterilla Fitness,45,False,3,46.33,138.99,45.41,40.04,44.48
2021-10-30,PROD_012,Domyos Kit Mancuernas 20kg,Fitness,Pesas Casa,55,False,4,56.13,224.52,50.08,51.16,52.97
2021-10-30,PROD_013,Decathlon Bandas Elásticas Set,Fitness,Bandas Elásticas,25,False,3,25.03,75.09,25.93,22.74,23.17
2021-10-30,PROD_014,Sveltus Kettlebell 12kg,Fitness,Pesa Rusa,40,False,3,40.61,121.83,38.48,37.87,38.54
2021-10-30,PROD_015,Salomon Speedcross 5 GTX,Outdoor,Zapatillas Trail,150,True,4,146.65,586.6,136.27,142.76,132.82
2021-10-30,PROD_016,Trek Marlin 7,Outdoor,Bicicleta Montaña,830,True,3,840.4,5143.851499999984,403.3126249999999,364.25499999999994,385.2574999999999
2021-10-30,PROD_017,The North Face Borealis,Outdoor,Mochila Trekking,95,False,2,92.36,184.72,93.36,89.61,98.04
2021-10-30,PROD_018,Columbia Silver Ridge,Outdoor,Ropa Montaña,70,False,2,69.41,138.82,72.38,64.2,71.78
2021-10-30,PROD_019,Merrell Moab 2 GTX,Outdoor,Zapatillas Trail,110,False,2,107.28,214.56,105.06,99.47,113.27
2021-10-30,PROD_020,Quechua MH500,Outdoor,Ropa Montaña,80,False,2,79.07,158.14,79.68,74.64,77.32
2021-10-30,PROD_021,Manduka PRO Yoga Mat,Wellness,Esterilla Yoga,130,True,6,129.2,775.2,129.22,108.66,116.82
2021-10-30,PROD_022,Gaiam Premium Yoga Block,Wellness,Bloque Yoga,20,False,1,20.02,20.02,20.12,17.33,20.75
2021-10-30,PROD_023,Liforme Yoga Pad,Wellness,Rodillera Yoga,35,False,1,35.88,35.88,34.22,31.85,35.68
2021-10-30,PROD_024,Lotuscrafts Yoga Bolster,Wellness,Cojín Yoga,50,False,1,51.05,51.05,53.63,46.19,47.63
2021-10-31,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,9,112.99,1016.91,82.88,108.84,95.45
2021-10-31,PROD_002,Adidas Ultraboost 23,Running,Zapatillas Running,135,True,10,138.06,1380.6,111.36,110.36,119.49
2021-10-31,PROD_003,Asics Gel Nimbus 25,Running,Zapatillas Running,85,False,3,86.88,260.64,80.92,82.12,83.74
2021-10-31,PROD_004,New Balance Fresh Foam X 1080v12,Running,Zapatillas Running,75,False,3,74.12,222.36,77.07,68.0,75.31
2021-10-31,PROD_005,Nike Dri-FIT Miler,Running,Ropa Running,35,False,2,34.12,68.24,34.23,32.28,35.56
2021-10-31,PROD_006,Adidas Own The Run Jacket,Running,Ropa Running,65,False,2,65.76,131.52,68.14,58.77,69.17
2021-10-31,PROD_007,Puma Velocity Nitro 2,Running,Zapatillas Running,70,False,2,69.35,138.7,72.34,61.74,70.46
2021-10-31,PROD_008,Reebok Floatride Energy 5,Running,Zapatillas Running,65,False,2,66.26,132.52,68.41,56.38,63.52
2021-10-31,PROD_009,Bowflex SelectTech 552,Fitness,Mancuernas Ajustables,400,True,2,391.18,782.36,360.2,327.05,359.76
2021-10-31,PROD_010,Domyos BM900,Fitness,Banco Gimnasio,175,True,2,177.78,355.56,173.89,147.24,160.47
2021-10-31,PROD_011,Reebok Professional Deck,Fitness,Esterilla Fitness,45,False,2,44.12,88.24,46.32,43.02,43.82
2021-10-31,PROD_012,Domyos Kit Mancuernas 20kg,Fitness,Pesas Casa,55,False,3,53.83,161.49,56.83,50.06,56.3
2021-10-31,PROD_013,Decathlon Bandas Elásticas Set,Fitness,Bandas Elásticas,25,False,3,24.8,74.4,24.27,22.94,25.54
2021-10-31,PROD_014,Sveltus Kettlebell 12kg,Fitness,Pesa Rusa,40,False,3,39.84,119.52,36.31,34.99,39.35
2021-10-31,PROD_015,Salomon Speedcross 5 GTX,Outdoor,Zapatillas Trail,150,True,2,148.31,296.62,138.0,140.99,134.59
2021-10-31,PROD_016,Trek Marlin 7,Outdoor,Bicicleta Montaña,830,True,3,810.36,5143.851499999984,403.3126249999999,364.25499999999994,385.2574999999999
2021-10-31,PROD_017,The North Face Borealis,Outdoor,Mochila Trekking,95,False,2,95.8,191.6,97.37,90.62,95.57
2021-10-31,PROD_018,Columbia Silver Ridge,Outdoor,Ropa Montaña,70,False,2,70.63,141.26,70.43,60.79,73.19
